Position,Track Name,Artist,Streams,URL,Date
3,ROXANNE,Arizona Zervas,1425119,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,1/3/2020
4,Circles,Post Malone,1227318,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1/3/2020
5,BOP,DaBaby,1132848,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,1/3/2020
6,Falling,Trevor Daniel,1101319,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,1/3/2020
7,Dance Monkey,Tones And I,1022885,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1/3/2020
8,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1006414,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,1/3/2020
9,Futsal Shuffle 2020,Lil Uzi Vert,945404,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,1/3/2020
10,My Oh My (feat. DaBaby),Camila Cabello,905694,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,1/3/2020
11,everything i wanted,Billie Eilish,892400,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,1/3/2020
12,Blinding Lights,The Weeknd,888989,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,1/3/2020
13,Adore You,Harry Styles,885196,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,1/3/2020
14,Ballin' (with Roddy Ricch),Mustard,859326,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,1/3/2020
15,Suicidal,YNW Melly,795441,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,1/3/2020
16,Don't Start Now,Dua Lipa,776315,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,1/3/2020
17,Watermelon Sugar,Harry Styles,717562,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,1/3/2020
18,hot girl bummer,blackbear,717317,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,1/3/2020
19,Heartless,The Weeknd,708919,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,1/3/2020
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,705344,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,1/3/2020
21,OUT WEST (feat. Young Thug),JACKBOYS,704879,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,1/3/2020
22,No Idea,Don Toliver,688023,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,1/3/2020
23,Memories,Maroon 5,684132,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,1/3/2020
24,HIGHEST IN THE ROOM,Travis Scott,664018,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,1/3/2020
